apply_no,lhpdat
key1,0.10799378
key2,0.11265276
key3,0.11265276
key4,0.11265276
key5,0.10799378
key6,0.10799378
key7,0.11265276
key8,0.10799378
key9,0.11265276
key10,0.10799378
key11,0.11265276
key12,0.11265276
key13,0.10799378
key14,0.11265276
key15,0.11265276
key16,0.10799378
key17,0.11265276
key18,0.11265276
key19,0.10799378
key20,0.10799378
key21,0.10799378
key22,0.11265276
key23,0.11265276
key24,0.11265276
key25,0.11265276
key26,0.11265276
key27,0.10799378
key28,0.10799378
key29,0.10799378
key30,0.11265276
key31,0.11265276
key32,0.11265276
key33,0.10799378
key34,0.10799378
key35,0.11265276
key36,0.10799378
key37,0.11265276
key38,0.11265276
key39,0.10799378
key40,0.10799378
key41,0.11265276
key42,0.11265276
key43,0.11265276
key44,0.10799378
key45,0.10799378
key46,0.11265276
key47,0.11265276
key48,0.10799378
key49,0.11265276
key50,0.10799378
key51,0.10799378
key52,0.10799378
key53,0.10799378
key54,0.10799378
key55,0.10799378
key56,0.11265276
key57,0.10799378
key58,0.11265276
key59,0.10799378
key60,0.10799378
key61,0.10799378
key62,0.10799378
key63,0.11265276
key64,0.11265276
key65,0.10799378
key66,0.10799378
key67,0.10799378
key68,0.11265276
key69,0.11265276
key70,0.11265276
key71,0.11265276
key72,0.10799378
key73,0.11265276
key74,0.11265276
key75,0.11265276
key76,0.10799378
key77,0.10799378
key78,0.10799378
key79,0.11265276
key80,0.10799378
key81,0.11265276
key82,0.10799378
key83,0.11265276
key84,0.10799378
key85,0.11265276
key86,0.10799378
key87,0.10799378
key88,0.11265276
key89,0.10799378
key90,0.10799378
key91,0.11265276
key92,0.11265276
key93,0.10799378
key94,0.10799378
key95,0.11265276
key96,0.10799378
key97,0.11265276
key98,0.11265276
key99,0.11265276
key100,0.11265276
key101,0.10799378
key102,0.10799378
key103,0.10799378
key104,0.10799378
key105,0.10799378
key106,0.11265276
key107,0.10799378
key108,0.11265276
key109,0.11265276
key110,0.10799378
key111,0.10799378
key112,0.10799378
key113,0.10799378
key114,0.11265276
key115,0.11265276
key116,0.10799378
key117,0.11265276
key118,0.11265276
key119,0.11265276
key120,0.10799378
key121,0.10799378
key122,0.10799378
key123,0.11265276
key124,0.11265276
key125,0.10799378
key126,0.11265276
key127,0.10799378
key128,0.11265276
key129,0.10799378
key130,0.10799378
key131,0.11265276
key132,0.10799378
key133,0.10799378
key134,0.10799378
key135,0.11265276
key136,0.11265276
key137,0.10799378
key138,0.10799378
key139,0.10799378
key140,0.11265276
key141,0.11265276
key142,0.11265276
key143,0.10799378
key144,0.11265276
key145,0.10799378
key146,0.10799378
key147,0.11265276
key148,0.10799378
key149,0.11265276
key150,0.10799378
key151,0.10799378
key152,0.11265276
key153,0.10799378
key154,0.11265276
key155,0.10799378
key156,0.10799378
key157,0.11265276
key158,0.11265276
key159,0.10799378
key160,0.11265276
key161,0.11265276
key162,0.10799378
key163,0.11265276
key164,0.10799378
key165,0.10799378
key166,0.11265276
key167,0.11265276
key168,0.11265276
key169,0.10799378
key170,0.11265276
key171,0.11265276
key172,0.11265276
key173,0.10799378
key174,0.10799378
key175,0.11265276
key176,0.11265276
key177,0.10799378
key178,0.10799378
key179,0.10799378
key180,0.10799378
key181,0.10799378
key182,0.10799378
key183,0.11265276
key184,0.10799378
key185,0.11265276
key186,0.11265276
key187,0.11265276
key188,0.11265276
key189,0.11265276
key190,0.11265276
key191,0.11265276
key192,0.11265276
key193,0.11265276
key194,0.11265276
key195,0.11265276
key196,0.11265276
key197,0.11265276
key198,0.11265276
key199,0.10799378
key200,0.11265276
key201,0.10799378
key202,0.10799378
key203,0.11265276
key204,0.11265276
key205,0.10799378
key206,0.11265276
key207,0.11265276
key208,0.11265276
key209,0.10799378
key210,0.10799378
key211,0.11265276
key212,0.11265276
key213,0.11265276
key214,0.10799378
key215,0.11265276
key216,0.10799378
key217,0.11265276
key218,0.10799378
key219,0.11265276
key220,0.11265276
key221,0.10799378
key222,0.11265276
key223,0.10799378
key224,0.11265276
key225,0.11265276
key226,0.11265276
key227,0.11265276
key228,0.11265276
key229,0.11265276
key230,0.11265276
key231,0.11265276
key232,0.11265276
key233,0.10799378
key234,0.10799378
key235,0.11265276
key236,0.10799378
key237,0.10799378
key238,0.10799378
key239,0.10799378
key240,0.10799378
key241,0.10799378
key242,0.10799378
key243,0.10799378
key244,0.11265276
key245,0.10799378
key246,0.11265276
key247,0.10799378
key248,0.11265276
key249,0.10799378
key250,0.11265276
key251,0.11265276
key252,0.10799378
key253,0.11265276
key254,0.10799378
key255,0.11265276
key256,0.11265276
key257,0.10799378
key258,0.11265276
key259,0.10799378
key260,0.11265276
key261,0.11265276
key262,0.10799378
key263,0.10799378
key264,0.11265276
key265,0.10799378
key266,0.11265276
key267,0.10799378
key268,0.11265276
key269,0.11265276
key270,0.10799378
key271,0.11265276
key272,0.10799378
key273,0.10799378
key274,0.11265276
key275,0.10799378
key276,0.11265276
key277,0.11265276
key278,0.10799378
key279,0.11265276
key280,0.11265276
key281,0.10799378
key282,0.10799378
key283,0.11265276
key284,0.10799378
key285,0.11265276
key286,0.11265276
key287,0.11265276
key288,0.10799378
key289,0.10799378
key290,0.10799378
key291,0.11265276
key292,0.10799378
key293,0.11265276
key294,0.10799378
key295,0.10799378
key296,0.11265276
key297,0.10799378
key298,0.10799378
key299,0.11265276
key300,0.11265276
key301,0.10799378
key302,0.11265276
key303,0.10799378
key304,0.10799378
key305,0.10799378
key306,0.10799378
key307,0.11265276
key308,0.10799378
key309,0.10799378
key310,0.11265276
key311,0.10799378
key312,0.11265276
key313,0.11265276
key314,0.10799378
key315,0.10799378
key316,0.11265276
key317,0.10799378
key318,0.11265276
key319,0.10799378
key320,0.11265276
key321,0.11265276
key322,0.10799378
key323,0.10799378
key324,0.10799378
key325,0.11265276
key326,0.10799378
key327,0.11265276
key328,0.11265276
key329,0.11265276
key330,0.10799378
key331,0.10799378
key332,0.11265276
key333,0.10799378
key334,0.11265276
key335,0.11265276
key336,0.10799378
key337,0.11265276
key338,0.10799378
key339,0.10799378
key340,0.10799378
key341,0.10799378
key342,0.10799378
key343,0.11265276
key344,0.11265276
key345,0.11265276
key346,0.11265276
key347,0.10799378
key348,0.11265276
key349,0.11265276
key350,0.11265276
key351,0.11265276
key352,0.11265276
key353,0.10799378
key354,0.11265276
key355,0.10799378
key356,0.11265276
key357,0.11265276
key358,0.11265276
key359,0.10799378
key360,0.10799378
key361,0.10799378
key362,0.11265276
key363,0.11265276
key364,0.10799378
key365,0.10799378
key366,0.10799378
key367,0.11265276
key368,0.11265276
key369,0.10799378
key370,0.10799378
key371,0.11265276
key372,0.10799378
key373,0.10799378
key374,0.11265276
key375,0.11265276
key376,0.11265276
key377,0.11265276
key378,0.11265276
key379,0.10799378
key380,0.11265276
key381,0.10799378
key382,0.10799378
key383,0.11265276
key384,0.10799378
key385,0.10799378
key386,0.11265276
key387,0.10799378
key388,0.10799378
key389,0.11265276
key390,0.10799378
key391,0.10799378
key392,0.10799378
key393,0.10799378
key394,0.11265276
key395,0.11265276
key396,0.11265276
key397,0.10799378
key398,0.11265276
key399,0.11265276
key400,0.11265276
key401,0.11265276
key402,0.10799378
key403,0.11265276
key404,0.10799378
key405,0.11265276
key406,0.10799378
key407,0.11265276
key408,0.11265276
key409,0.10799378
key410,0.11265276
key411,0.10799378
key412,0.10799378
key413,0.11265276
key414,0.10799378
key415,0.11265276
key416,0.11265276
key417,0.10799378
key418,0.10799378
key419,0.11265276
key420,0.11265276
key421,0.10799378
key422,0.10799378
key423,0.11265276
key424,0.10799378
key425,0.10799378
key426,0.10799378
key427,0.11265276
key428,0.11265276
key429,0.11265276
key430,0.11265276
key431,0.11265276
key432,0.11265276
key433,0.11265276
key434,0.10799378
key435,0.10799378
key436,0.10799378
key437,0.10799378
key438,0.11265276
key439,0.11265276
key440,0.11265276
key441,0.11265276
key442,0.10799378
key443,0.10799378
key444,0.11265276
key445,0.10799378
key446,0.10799378
key447,0.10799378
key448,0.11265276
key449,0.11265276
key450,0.10799378
key451,0.10799378
key452,0.10799378
key453,0.11265276
key454,0.10799378
key455,0.10799378
key456,0.11265276
key457,0.11265276
key458,0.11265276
key459,0.10799378
key460,0.11265276
key461,0.10799378
key462,0.11265276
key463,0.11265276
key464,0.10799378
key465,0.11265276
key466,0.11265276
key467,0.11265276
key468,0.11265276
key469,0.11265276
key470,0.10799378
key471,0.11265276
key472,0.11265276
key473,0.10799378
key474,0.11265276
key475,0.10799378
key476,0.11265276
key477,0.10799378
key478,0.11265276
key479,0.10799378
key480,0.10799378
key481,0.11265276
key482,0.10799378
key483,0.10799378
key484,0.10799378
key485,0.10799378
key486,0.11265276
key487,0.11265276
key488,0.10799378
key489,0.10799378
key490,0.11265276
key491,0.10799378
key492,0.10799378
key493,0.11265276
key494,0.11265276
key495,0.11265276
key496,0.10799378
key497,0.11265276
key498,0.11265276
key499,0.11265276
key500,0.10799378
key501,0.11265276
key502,0.10799378
key503,0.11265276
key504,0.10799378
key505,0.11265276
key506,0.11265276
key507,0.10799378
key508,0.11265276
key509,0.11265276
key510,0.10799378
key511,0.11265276
key512,0.10799378
key513,0.10799378
key514,0.11265276
key515,0.11265276
key516,0.11265276
key517,0.10799378
key518,0.11265276
key519,0.11265276
key520,0.10799378
key521,0.10799378
key522,0.11265276
key523,0.11265276
key524,0.11265276
key525,0.11265276
key526,0.10799378
key527,0.11265276
key528,0.10799378
key529,0.11265276
key530,0.10799378
key531,0.11265276
key532,0.11265276
key533,0.10799378
key534,0.10799378
key535,0.11265276
key536,0.11265276
key537,0.11265276
key538,0.10799378
key539,0.10799378
key540,0.10799378
key541,0.11265276
key542,0.10799378
key543,0.11265276
key544,0.11265276
key545,0.11265276
key546,0.11265276
key547,0.11265276
key548,0.11265276
key549,0.10799378
key550,0.10799378
key551,0.10799378
key552,0.11265276
key553,0.11265276
key554,0.10799378
key555,0.11265276
key556,0.11265276
key557,0.11265276
key558,0.11265276
key559,0.10799378
key560,0.11265276
key561,0.11265276
key562,0.10799378
key563,0.11265276
key564,0.11265276
key565,0.11265276
key566,0.10799378
key567,0.10799378
key568,0.11265276
key569,0.10799378
key570,0.11265276
key571,0.11265276
key572,0.10799378
key573,0.11265276
key574,0.10799378
key575,0.10799378
key576,0.10799378
key577,0.11265276
key578,0.11265276
key579,0.10799378
key580,0.11265276
key581,0.10799378
key582,0.10799378
key583,0.10799378
key584,0.10799378
key585,0.10799378
key586,0.11265276
key587,0.11265276
key588,0.10799378
key589,0.10799378
key590,0.11265276
key591,0.10799378
key592,0.10799378
key593,0.11265276
key594,0.10799378
key595,0.11265276
key596,0.11265276
key597,0.11265276
key598,0.11265276
key599,0.10799378
key600,0.11265276
key601,0.11265276
key602,0.11265276
key603,0.10799378
key604,0.11265276
key605,0.10799378
key606,0.10799378
key607,0.10799378
key608,0.10799378
key609,0.10799378
key610,0.11265276
key611,0.11265276
key612,0.11265276
key613,0.10799378
key614,0.11265276
key615,0.10799378
key616,0.11265276
key617,0.10799378
key618,0.11265276
key619,0.10799378
key620,0.10799378
key621,0.11265276
key622,0.11265276
key623,0.11265276
key624,0.11265276
key625,0.11265276
key626,0.11265276
key627,0.10799378
key628,0.11265276
key629,0.11265276
key630,0.10799378
key631,0.11265276
key632,0.10799378
key633,0.10799378
key634,0.11265276
key635,0.10799378
key636,0.11265276
key637,0.11265276
key638,0.11265276
key639,0.11265276
key640,0.11265276
key641,0.10799378
key642,0.10799378
key643,0.10799378
key644,0.11265276
key645,0.10799378
key646,0.10799378
key647,0.10799378
key648,0.11265276
key649,0.10799378
key650,0.10799378
key651,0.10799378
key652,0.11265276
key653,0.10799378
key654,0.10799378
key655,0.10799378
key656,0.11265276
key657,0.11265276
key658,0.11265276
key659,0.11265276
key660,0.10799378
key661,0.11265276
key662,0.11265276
key663,0.11265276
key664,0.11265276
key665,0.10799378
key666,0.11265276
key667,0.10799378
key668,0.11265276
key669,0.11265276
key670,0.10799378
key671,0.10799378
key672,0.10799378
key673,0.11265276
key674,0.11265276
key675,0.11265276
key676,0.11265276
key677,0.10799378
key678,0.10799378
key679,0.10799378
key680,0.10799378
key681,0.10799378
key682,0.10799378
key683,0.10799378
key684,0.11265276
key685,0.10799378
key686,0.10799378
key687,0.10799378
key688,0.10799378
key689,0.10799378
key690,0.10799378
key691,0.11265276
key692,0.11265276
key693,0.10799378
key694,0.11265276
key695,0.10799378
key696,0.11265276
key697,0.10799378
key698,0.11265276
key699,0.10799378
key700,0.10799378
key701,0.10799378
key702,0.10799378
key703,0.11265276
key704,0.11265276
key705,0.11265276
key706,0.10799378
key707,0.10799378
key708,0.10799378
key709,0.11265276
key710,0.10799378
key711,0.11265276
key712,0.11265276
key713,0.10799378
key714,0.11265276
key715,0.10799378
key716,0.11265276
key717,0.11265276
key718,0.10799378
key719,0.11265276
key720,0.10799378
key721,0.11265276
key722,0.10799378
key723,0.10799378
key724,0.11265276
key725,0.10799378
key726,0.10799378
key727,0.11265276
key728,0.11265276
key729,0.10799378
key730,0.11265276
key731,0.11265276
key732,0.10799378
key733,0.11265276
key734,0.11265276
key735,0.10799378
key736,0.11265276
key737,0.10799378
key738,0.11265276
key739,0.10799378
key740,0.11265276
key741,0.10799378
key742,0.11265276
key743,0.11265276
key744,0.11265276
key745,0.10799378
key746,0.11265276
key747,0.11265276
key748,0.10799378
key749,0.11265276
key750,0.11265276
key751,0.11265276
key752,0.10799378
key753,0.10799378
key754,0.11265276
key755,0.11265276
key756,0.10799378
key757,0.11265276
key758,0.11265276
key759,0.11265276
key760,0.10799378
key761,0.11265276
key762,0.10799378
key763,0.10799378
key764,0.11265276
key765,0.10799378
key766,0.10799378
key767,0.11265276
key768,0.11265276
key769,0.11265276
key770,0.11265276
key771,0.11265276
key772,0.10799378
key773,0.10799378
key774,0.11265276
key775,0.11265276
key776,0.10799378
key777,0.10799378
key778,0.11265276
key779,0.10799378
key780,0.11265276
key781,0.10799378
key782,0.11265276
key783,0.10799378
key784,0.10799378
key785,0.10799378
key786,0.10799378
key787,0.11265276
key788,0.11265276
key789,0.11265276
key790,0.11265276
key791,0.10799378
key792,0.11265276
key793,0.11265276
key794,0.10799378
key795,0.10799378
key796,0.11265276
key797,0.10799378
key798,0.10799378
key799,0.10799378
key800,0.11265276
key801,0.11265276
key802,0.11265276
key803,0.10799378
key804,0.10799378
key805,0.10799378
key806,0.10799378
key807,0.11265276
key808,0.11265276
key809,0.10799378
key810,0.10799378
key811,0.11265276
key812,0.11265276
key813,0.10799378
key814,0.10799378
key815,0.11265276
key816,0.11265276
key817,0.11265276
key818,0.11265276
key819,0.11265276
key820,0.11265276
key821,0.11265276
key822,0.11265276
key823,0.10799378
key824,0.10799378
key825,0.10799378
key826,0.11265276
key827,0.11265276
key828,0.11265276
key829,0.11265276
key830,0.10799378
key831,0.10799378
key832,0.11265276
key833,0.11265276
key834,0.11265276
key835,0.10799378
key836,0.10799378
key837,0.11265276
key838,0.11265276
key839,0.10799378
key840,0.11265276
key841,0.10799378
key842,0.10799378
key843,0.10799378
key844,0.11265276
key845,0.11265276
key846,0.11265276
key847,0.11265276
key848,0.10799378
key849,0.11265276
key850,0.10799378
key851,0.11265276
key852,0.10799378
key853,0.11265276
key854,0.11265276
key855,0.10799378
key856,0.11265276
key857,0.10799378
key858,0.11265276
key859,0.10799378
key860,0.11265276
key861,0.10799378
key862,0.11265276
key863,0.11265276
key864,0.11265276
key865,0.10799378
key866,0.10799378
key867,0.10799378
key868,0.10799378
key869,0.11265276
key870,0.11265276
key871,0.10799378
key872,0.10799378
key873,0.10799378
key874,0.10799378
key875,0.10799378
key876,0.10799378
key877,0.11265276
key878,0.10799378
key879,0.10799378
key880,0.11265276
key881,0.10799378
key882,0.11265276
key883,0.11265276
key884,0.10799378
key885,0.11265276
key886,0.11265276
key887,0.11265276
key888,0.10799378
key889,0.11265276
key890,0.11265276
key891,0.10799378
key892,0.10799378
key893,0.10799378
key894,0.10799378
key895,0.10799378
key896,0.11265276
key897,0.10799378
key898,0.11265276
key899,0.10799378
key900,0.10799378
key901,0.10799378
key902,0.11265276
key903,0.10799378
key904,0.10799378
key905,0.10799378
key906,0.11265276
key907,0.11265276
key908,0.10799378
key909,0.10799378
key910,0.11265276
key911,0.10799378
key912,0.11265276
key913,0.11265276
key914,0.11265276
key915,0.11265276
key916,0.11265276
key917,0.10799378
key918,0.10799378
key919,0.10799378
key920,0.11265276
key921,0.10799378
key922,0.10799378
key923,0.10799378
key924,0.11265276
key925,0.10799378
key926,0.11265276
key927,0.11265276
key928,0.11265276
key929,0.11265276
key930,0.11265276
key931,0.10799378
key932,0.11265276
key933,0.11265276
key934,0.10799378
key935,0.10799378
key936,0.10799378
key937,0.11265276
key938,0.11265276
key939,0.10799378
key940,0.10799378
key941,0.10799378
key942,0.11265276
key943,0.11265276
key944,0.10799378
key945,0.11265276
key946,0.11265276
key947,0.11265276
key948,0.10799378
key949,0.11265276
key950,0.10799378
key951,0.10799378
key952,0.10799378
key953,0.10799378
key954,0.10799378
key955,0.11265276
key956,0.10799378
key957,0.11265276
key958,0.11265276
key959,0.10799378
key960,0.11265276
key961,0.10799378
key962,0.11265276
key963,0.11265276
key964,0.11265276
key965,0.10799378
key966,0.11265276
key967,0.10799378
key968,0.10799378
key969,0.10799378
key970,0.11265276
key971,0.11265276
key972,0.11265276
key973,0.10799378
key974,0.11265276
key975,0.11265276
key976,0.10799378
key977,0.10799378
key978,0.10799378
key979,0.10799378
key980,0.10799378
key981,0.10799378
key982,0.11265276
key983,0.11265276
key984,0.10799378
key985,0.10799378
key986,0.11265276
key987,0.11265276
key988,0.11265276
key989,0.10799378
key990,0.11265276
key991,0.10799378
key992,0.10799378
key993,0.11265276
key994,0.11265276
key995,0.11265276
key996,0.11265276
key997,0.10799378
key998,0.11265276
key999,0.11265276
key1000,0.11265276
key1001,0.11265276
key1002,0.11265276
key1003,0.10799378
key1004,0.10799378
key1005,0.11265276
key1006,0.10799378
key1007,0.11265276
key1008,0.11265276
key1009,0.11265276
key1010,0.10799378
key1011,0.11265276
key1012,0.10799378
key1013,0.10799378
key1014,0.11265276
key1015,0.10799378
key1016,0.10799378
key1017,0.10799378
key1018,0.11265276
key1019,0.10799378
key1020,0.11265276
key1021,0.11265276
key1022,0.11265276
key1023,0.11265276
key1024,0.11265276
key1025,0.10799378
key1026,0.11265276
key1027,0.11265276
key1028,0.11265276
key1029,0.10799378
key1030,0.11265276
key1031,0.10799378
key1032,0.11265276
key1033,0.11265276
key1034,0.11265276
key1035,0.10799378
key1036,0.11265276
key1037,0.11265276
key1038,0.10799378
key1039,0.11265276
key1040,0.10799378
key1041,0.10799378
key1042,0.11265276
key1043,0.10799378
key1044,0.11265276
key1045,0.10799378
key1046,0.10799378
key1047,0.10799378
key1048,0.11265276
key1049,0.10799378
key1050,0.11265276
key1051,0.11265276
key1052,0.10799378
key1053,0.10799378
key1054,0.10799378
key1055,0.10799378
key1056,0.11265276
key1057,0.11265276
key1058,0.10799378
key1059,0.10799378
key1060,0.11265276
key1061,0.11265276
key1062,0.11265276
key1063,0.11265276
key1064,0.10799378
key1065,0.10799378
key1066,0.11265276
key1067,0.10799378
key1068,0.11265276
key1069,0.10799378
key1070,0.10799378
key1071,0.10799378
key1072,0.10799378
key1073,0.11265276
key1074,0.10799378
key1075,0.10799378
key1076,0.10799378
key1077,0.10799378
key1078,0.10799378
key1079,0.10799378
key1080,0.11265276
key1081,0.10799378
key1082,0.11265276
key1083,0.11265276
key1084,0.11265276
key1085,0.11265276
key1086,0.10799378
key1087,0.11265276
key1088,0.11265276
key1089,0.11265276
key1090,0.10799378
key1091,0.10799378
key1092,0.11265276
key1093,0.10799378
key1094,0.11265276
key1095,0.11265276
key1096,0.10799378
key1097,0.11265276
key1098,0.11265276
key1099,0.11265276
key1100,0.11265276
key1101,0.11265276
key1102,0.11265276
key1103,0.10799378
key1104,0.10799378
key1105,0.11265276
key1106,0.10799378
key1107,0.11265276
key1108,0.11265276
key1109,0.10799378
key1110,0.10799378
key1111,0.10799378
key1112,0.11265276
key1113,0.10799378
key1114,0.11265276
key1115,0.10799378
key1116,0.10799378
key1117,0.10799378
key1118,0.11265276
key1119,0.10799378
key1120,0.11265276
key1121,0.10799378
key1122,0.10799378
key1123,0.10799378
key1124,0.10799378
key1125,0.11265276
key1126,0.11265276
key1127,0.11265276
key1128,0.11265276
key1129,0.10799378
key1130,0.11265276
key1131,0.11265276
key1132,0.10799378
key1133,0.11265276
key1134,0.11265276
key1135,0.10799378
key1136,0.10799378
key1137,0.11265276
key1138,0.10799378
key1139,0.11265276
key1140,0.11265276
key1141,0.10799378
key1142,0.10799378
key1143,0.11265276
key1144,0.11265276
key1145,0.11265276
key1146,0.11265276
key1147,0.11265276
key1148,0.11265276
key1149,0.11265276
key1150,0.10799378
key1151,0.11265276
key1152,0.10799378
key1153,0.11265276
key1154,0.11265276
key1155,0.11265276
key1156,0.11265276
key1157,0.11265276
key1158,0.11265276
key1159,0.10799378
key1160,0.10799378
key1161,0.11265276
key1162,0.11265276
key1163,0.11265276
key1164,0.11265276
key1165,0.11265276
key1166,0.10799378
key1167,0.11265276
key1168,0.10799378
key1169,0.10799378
key1170,0.10799378
key1171,0.11265276
key1172,0.10799378
key1173,0.11265276
key1174,0.11265276
key1175,0.10799378
key1176,0.10799378
key1177,0.11265276
key1178,0.11265276
key1179,0.11265276
key1180,0.10799378
key1181,0.11265276
key1182,0.10799378
key1183,0.10799378
key1184,0.10799378
key1185,0.11265276
key1186,0.11265276
key1187,0.11265276
key1188,0.11265276
key1189,0.10799378
key1190,0.11265276
key1191,0.10799378
key1192,0.10799378
key1193,0.11265276
key1194,0.10799378
key1195,0.10799378
key1196,0.10799378
key1197,0.11265276
key1198,0.10799378
key1199,0.11265276
key1200,0.10799378
key1201,0.10799378
key1202,0.10799378
key1203,0.10799378
key1204,0.10799378
key1205,0.10799378
key1206,0.10799378
key1207,0.11265276
key1208,0.11265276
key1209,0.10799378
key1210,0.11265276
key1211,0.10799378
key1212,0.11265276
key1213,0.11265276
key1214,0.11265276
key1215,0.11265276
key1216,0.10799378
key1217,0.10799378
key1218,0.10799378
key1219,0.11265276
key1220,0.11265276
key1221,0.10799378
key1222,0.11265276
key1223,0.10799378
key1224,0.11265276
key1225,0.11265276
key1226,0.10799378
key1227,0.11265276
key1228,0.10799378
key1229,0.11265276
key1230,0.10799378
key1231,0.11265276
key1232,0.11265276
key1233,0.10799378
key1234,0.11265276
key1235,0.11265276
key1236,0.11265276
key1237,0.10799378
key1238,0.11265276
key1239,0.10799378
key1240,0.10799378
key1241,0.10799378
key1242,0.10799378
key1243,0.11265276
key1244,0.11265276
key1245,0.11265276
key1246,0.10799378
key1247,0.11265276
key1248,0.10799378
key1249,0.11265276
key1250,0.10799378
key1251,0.11265276
key1252,0.10799378
key1253,0.11265276
key1254,0.11265276
key1255,0.10799378
key1256,0.10799378
key1257,0.11265276
key1258,0.11265276
key1259,0.11265276
key1260,0.10799378
key1261,0.10799378
key1262,0.11265276
key1263,0.11265276
key1264,0.10799378
key1265,0.10799378
key1266,0.11265276
key1267,0.11265276
key1268,0.11265276
key1269,0.10799378
key1270,0.11265276
key1271,0.10799378
key1272,0.10799378
key1273,0.10799378
key1274,0.10799378
key1275,0.11265276
key1276,0.11265276
key1277,0.10799378
key1278,0.11265276
key1279,0.10799378
key1280,0.11265276
key1281,0.10799378
key1282,0.10799378
key1283,0.10799378
key1284,0.11265276
key1285,0.11265276
key1286,0.10799378
key1287,0.11265276
key1288,0.10799378
key1289,0.11265276
key1290,0.10799378
key1291,0.11265276
key1292,0.11265276
key1293,0.10799378
key1294,0.10799378
key1295,0.11265276
key1296,0.10799378
key1297,0.11265276
key1298,0.11265276
key1299,0.10799378
key1300,0.11265276
key1301,0.11265276
key1302,0.11265276
key1303,0.11265276
key1304,0.10799378
key1305,0.11265276
key1306,0.11265276
key1307,0.11265276
key1308,0.11265276
key1309,0.11265276
key1310,0.10799378
key1311,0.10799378
key1312,0.10799378
key1313,0.10799378
key1314,0.11265276
key1315,0.10799378
key1316,0.10799378
key1317,0.10799378
key1318,0.10799378
key1319,0.10799378
key1320,0.10799378
key1321,0.10799378
key1322,0.11265276
key1323,0.10799378
key1324,0.11265276
key1325,0.11265276
key1326,0.11265276
key1327,0.11265276
key1328,0.11265276
key1329,0.11265276
key1330,0.10799378
key1331,0.10799378
key1332,0.11265276
key1333,0.11265276
key1334,0.11265276
key1335,0.11265276
key1336,0.11265276
key1337,0.11265276
key1338,0.11265276
key1339,0.10799378
key1340,0.10799378
key1341,0.11265276
key1342,0.11265276
key1343,0.10799378
key1344,0.10799378
key1345,0.10799378
key1346,0.10799378
key1347,0.11265276
